region,geoCode,keyword,interest
Alabama,US-AL,NIL,100
Alaska,US-AK,NIL,27
Arizona,US-AZ,NIL,45
Arkansas,US-AR,NIL,64
California,US-CA,NIL,36
Colorado,US-CO,NIL,54
Connecticut,US-CT,NIL,44
Delaware,US-DE,NIL,47
District of Columbia,US-DC,NIL,62
Florida,US-FL,NIL,49
Georgia,US-GA,NIL,72
Hawaii,US-HI,NIL,41
Idaho,US-ID,NIL,54
Illinois,US-IL,NIL,56
Indiana,US-IN,NIL,70
Iowa,US-IA,NIL,67
Kansas,US-KS,NIL,71
Kentucky,US-KY,NIL,77
Louisiana,US-LA,NIL,64
Maine,US-ME,NIL,35
Maryland,US-MD,NIL,50
Massachusetts,US-MA,NIL,42
Michigan,US-MI,NIL,56
Minnesota,US-MN,NIL,46
Mississippi,US-MS,NIL,74
Missouri,US-MO,NIL,56
Montana,US-MT,NIL,47
Nebraska,US-NE,NIL,89
Nevada,US-NV,NIL,39
New Hampshire,US-NH,NIL,37
New Jersey,US-NJ,NIL,45
New Mexico,US-NM,NIL,40
New York,US-NY,NIL,41
North Carolina,US-NC,NIL,64
North Dakota,US-ND,NIL,62
Ohio,US-OH,NIL,66
Oklahoma,US-OK,NIL,76
Oregon,US-OR,NIL,43
Pennsylvania,US-PA,NIL,53
Rhode Island,US-RI,NIL,45
South Carolina,US-SC,NIL,73
South Dakota,US-SD,NIL,62
Tennessee,US-TN,NIL,79
Texas,US-TX,NIL,51
Utah,US-UT,NIL,59
Vermont,US-VT,NIL,37
Virginia,US-VA,NIL,56
Washington,US-WA,NIL,41
West Virginia,US-WV,NIL,70
Wisconsin,US-WI,NIL,50
Wyoming,US-WY,NIL,49
Alabama,US-AL,athlete branding,0
Alaska,US-AK,athlete branding,0
Arizona,US-AZ,athlete branding,0
Arkansas,US-AR,athlete branding,0
California,US-CA,athlete branding,0
Colorado,US-CO,athlete branding,0
Connecticut,US-CT,athlete branding,0
Delaware,US-DE,athlete branding,0
District of Columbia,US-DC,athlete branding,0
Florida,US-FL,athlete branding,0
Georgia,US-GA,athlete branding,0
Hawaii,US-HI,athlete branding,0
Idaho,US-ID,athlete branding,0
Illinois,US-IL,athlete branding,0
Indiana,US-IN,athlete branding,0
Iowa,US-IA,athlete branding,0
Kansas,US-KS,athlete branding,0
Kentucky,US-KY,athlete branding,0
Louisiana,US-LA,athlete branding,0
Maine,US-ME,athlete branding,0
Maryland,US-MD,athlete branding,0
Massachusetts,US-MA,athlete branding,0
Michigan,US-MI,athlete branding,0
Minnesota,US-MN,athlete branding,0
Mississippi,US-MS,athlete branding,0
Missouri,US-MO,athlete branding,0
Montana,US-MT,athlete branding,0
Nebraska,US-NE,athlete branding,0
Nevada,US-NV,athlete branding,0
New Hampshire,US-NH,athlete branding,0
New Jersey,US-NJ,athlete branding,0
New Mexico,US-NM,athlete branding,0
New York,US-NY,athlete branding,100
North Carolina,US-NC,athlete branding,0
North Dakota,US-ND,athlete branding,0
Ohio,US-OH,athlete branding,0
Oklahoma,US-OK,athlete branding,0
Oregon,US-OR,athlete branding,0
Pennsylvania,US-PA,athlete branding,0
Rhode Island,US-RI,athlete branding,0
South Carolina,US-SC,athlete branding,0
South Dakota,US-SD,athlete branding,0
Tennessee,US-TN,athlete branding,0
Texas,US-TX,athlete branding,0
Utah,US-UT,athlete branding,0
Vermont,US-VT,athlete branding,0
Virginia,US-VA,athlete branding,0
Washington,US-WA,athlete branding,0
West Virginia,US-WV,athlete branding,0
Wisconsin,US-WI,athlete branding,0
Wyoming,US-WY,athlete branding,0
Alabama,US-AL,athlete website,0
Alaska,US-AK,athlete website,0
Arizona,US-AZ,athlete website,64
Arkansas,US-AR,athlete website,0
California,US-CA,athlete website,44
Colorado,US-CO,athlete website,0
Connecticut,US-CT,athlete website,0
Delaware,US-DE,athlete website,0
District of Columbia,US-DC,athlete website,0
Florida,US-FL,athlete website,41
Georgia,US-GA,athlete website,49
Hawaii,US-HI,athlete website,0
Idaho,US-ID,athlete website,0
Illinois,US-IL,athlete website,27
Indiana,US-IN,athlete website,0
Iowa,US-IA,athlete website,0
Kansas,US-KS,athlete website,0
Kentucky,US-KY,athlete website,100
Louisiana,US-LA,athlete website,0
Maine,US-ME,athlete website,0
Maryland,US-MD,athlete website,54
Massachusetts,US-MA,athlete website,50
Michigan,US-MI,athlete website,0
Minnesota,US-MN,athlete website,0
Mississippi,US-MS,athlete website,0
Missouri,US-MO,athlete website,0
Montana,US-MT,athlete website,0
Nebraska,US-NE,athlete website,0
Nevada,US-NV,athlete website,0
New Hampshire,US-NH,athlete website,0
New Jersey,US-NJ,athlete website,0
New Mexico,US-NM,athlete website,0
New York,US-NY,athlete website,38
North Carolina,US-NC,athlete website,41
North Dakota,US-ND,athlete website,0
Ohio,US-OH,athlete website,45
Oklahoma,US-OK,athlete website,0
Oregon,US-OR,athlete website,0
Pennsylvania,US-PA,athlete website,54
Rhode Island,US-RI,athlete website,15
South Carolina,US-SC,athlete website,0
South Dakota,US-SD,athlete website,0
Tennessee,US-TN,athlete website,0
Texas,US-TX,athlete website,50
Utah,US-UT,athlete website,0
Vermont,US-VT,athlete website,0
Virginia,US-VA,athlete website,43
Washington,US-WA,athlete website,55
West Virginia,US-WV,athlete website,0
Wisconsin,US-WI,athlete website,0
Wyoming,US-WY,athlete website,0
